timestamp,x,y,z
0,2.62,9.24,2.58
10,2.57,9.14,2.7
20,2.54,9.08,2.96
30,2.54,9.11,2.94
40,2.59,9.11,2.79
50,2.66,9.17,2.61
60,2.7,9.35,2.66
70,2.66,9.49,2.93
80,2.7,9.7,3.09
90,2.72,9.83,3.0
100,2.76,9.91,2.79
110,2.77,9.82,2.69
120,2.76,9.54,2.63
130,2.72,9.21,2.59
140,2.68,9.06,2.55
150,2.72,9.01,2.39
160,2.8,9.22,2.22
170,2.85,9.49,2.19
180,2.95,9.67,2.0
190,2.9,9.79,2.21
200,2.89,9.86,2.44
210,2.85,9.91,2.71
220,2.95,9.99,2.56
230,3.08,10.14,2.29
240,3.17,10.32,2.12
250,3.34,10.66,1.97
260,3.38,10.89,2.11
270,3.42,11.21,2.18
280,3.4,11.53,2.27
290,3.29,11.82,2.54
300,2.99,11.93,3.28
310,2.65,12.14,4.31
320,2.49,12.49,5.27
330,2.24,12.85,6.59
340,1.81,13.23,8.26
350,1.22,13.59,10.31
360,0.15,13.73,12.7
370,-0.21,13.47,13.5
380,-0.62,11.92,13.25
390,-1.05,9.18,11.85
400,-1.15,5.97,9.25
410,-1.09,3.49,7.02
420,-0.73,1.91,5.12
430,-0.28,1.42,4.07
440,-0.21,0.8,3.99
450,-0.24,-0.19,3.97
460,-0.25,-1.47,3.69
470,-0.2,-2.65,3.36
480,0.01,-3.8,2.5
490,0.66,-4.77,0.89
500,1.31,-5.43,-0.6
510,1.82,-4.94,-2.05
520,2.2,-3.58,-3.58
530,2.25,-3.01,-4.93
540,1.59,-3.77,-5.93
550,0.77,-5.35,-6.79
560,-0.16,-5.71,-8.76
570,-0.11,-4.79,-12.37
580,-0.23,-2.21,-16.71
590,0.09,2.71,-23.57
600,0.28,7.56,-30.33
610,0.16,11.6,-36.14
620,-0.7,15.59,-38.98
630,-2.56,17.47,-39.84
640,-6.67,17.15,-35.74
650,-10.23,17.67,-29.6
660,-13.45,19.47,-21.52
670,-14.94,23.24,-13.56
680,-17.74,26.86,-4.17
690,-17.54,28.87,0.29
700,-17.2,30.94,3.64
710,-16.89,31.35,6.34
720,-17.67,29.99,10.92
730,-19.01,25.1,17.96
740,-18.29,22.25,23.56
750,-16.72,19.73,25.74
760,-14.02,20.23,23.46
770,-11.96,21.12,20.88
780,-10.62,20.15,19.68
790,-10.0,17.88,20.95
800,-9.24,15.76,21.8
810,-8.72,13.45,21.88
820,-8.25,10.6,21.02
830,-7.71,8.2,18.9
840,-7.08,5.85,16.08
850,-6.38,3.96,12.99
860,-5.65,3.51,10.39
870,-5.11,3.19,8.49
880,-4.38,4.27,7.13
890,-4.11,2.87,7.2
900,-4.04,1.67,8.07
910,-4.37,0.96,9.43
920,-4.35,-0.47,9.12
930,-3.86,-0.36,7.45
940,-3.29,0.22,5.66
950,-2.83,0.59,4.39
960,-2.26,1.36,3.69
970,-1.78,2.57,4.21
980,-1.26,3.77,4.67
990,-0.8,4.36,5.15
1000,-0.33,4.45,5.27
