timestamp,x,y,z
0,5.37,8.54,2.43
10,5.38,8.64,2.49
20,5.32,8.67,2.66
30,5.25,8.69,2.81
40,5.23,8.6,2.68
50,5.27,8.46,2.35
60,5.26,8.35,2.17
70,5.24,8.36,2.16
80,5.2,8.38,2.28
90,5.18,8.3,2.36
100,5.09,8.21,2.42
110,5.05,8.16,2.46
120,4.97,8.02,2.59
130,4.98,7.83,2.61
140,4.93,7.74,2.71
150,4.98,7.61,2.55
160,4.97,7.52,2.47
170,4.87,7.49,2.61
180,4.79,7.38,2.66
190,4.68,7.34,2.87
200,4.61,7.36,3.06
210,4.65,7.51,2.94
220,4.64,7.38,2.81
230,4.53,7.03,2.83
240,4.34,6.74,2.96
250,3.96,6.58,3.01
260,3.58,5.94,3.2
270,3.23,4.73,3.47
280,2.88,2.36,3.03
290,2.15,-1.84,2.74
300,0.67,-9.04,2.78
310,-1.51,-18.32,2.94
320,-4.34,-26.53,2.91
330,-7.32,-30.56,1.18
340,-9.38,-28.85,-2.18
350,-11.76,-24.76,-5.85
360,-14.45,-18.06,-8.06
370,-17.76,-8.59,-6.13
380,-19.2,3.88,-4.04
390,-19.16,15.7,-2.84
400,-17.46,25.51,-2.26
410,-14.79,31.58,-2.66
420,-12.16,33.01,-3.06
430,-10.51,32.99,-2.35
440,-9.06,33.77,-0.58
450,-7.9,30.54,-0.12
460,-6.98,32.87,0.53
470,-5.5,33.49,0.03
480,-4.78,32.73,0.35
490,-4.17,32.06,0.55
500,-3.56,31.01,-0.03
510,-3.6,29.05,0.18
520,-3.99,27.15,1.32
530,-4.42,25.92,2.5
540,-4.93,24.64,3.95
550,-5.48,23.95,5.8
560,-5.54,25.14,7.28
570,-5.9,29.19,9.24
580,-6.16,34.43,10.44
590,-6.93,39.17,11.42
600,-8.43,39.6,11.33
610,-10.07,37.2,9.57
620,-11.9,32.93,6.89
630,-13.52,26.32,4.07
640,-14.41,20.28,1.2
650,-14.74,15.63,-1.6
660,-14.71,10.34,-3.53
670,-14.19,4.53,-4.81
680,-12.81,0.33,-6.93
690,-11.6,-2.33,-9.07
700,-9.91,-6.01,-11.77
710,-7.85,-10.08,-13.32
720,-5.77,-13.66,-13.48
730,-3.8,-15.58,-12.56
740,-1.75,-15.41,-11.44
750,0.23,-13.69,-10.33
760,1.77,-10.63,-8.65
770,2.63,-7.92,-6.73
780,3.1,-5.4,-4.48
790,3.9,-2.5,-3.0
800,4.47,0.04,-1.66
810,4.85,2.24,-0.43
820,5.11,3.95,0.36
830,5.29,4.86,0.66
840,5.4,5.06,0.84
850,5.45,5.17,0.96
860,5.57,5.39,1.09
870,5.54,5.71,1.51
880,5.42,6.19,1.91
890,5.56,6.71,1.41
900,5.59,7.14,0.8
910,5.55,7.46,0.37
920,5.56,8.11,0.1
930,5.55,8.37,-0.11
940,5.54,8.47,-0.12
950,5.41,8.47,0.19
960,5.44,8.39,0.12
970,5.5,8.13,-0.08
980,5.52,7.72,-0.21
990,5.37,7.17,0.11
1000,5.19,7.23,0.61
