timestamp,x,y,z
0,5.02,7.33,4.47
10,5.01,7.28,4.45
20,5.04,7.28,4.36
30,5.06,7.35,4.3
40,5.07,7.48,4.38
50,5.0,7.49,4.53
60,4.97,7.41,4.52
70,4.9,7.19,4.59
80,4.87,6.99,4.65
90,4.88,6.95,4.48
100,4.83,6.93,4.62
110,4.76,6.91,4.79
120,4.69,6.85,4.86
130,4.54,6.65,4.99
140,4.38,6.34,5.22
150,4.2,6.19,5.88
160,4.06,6.14,6.75
170,3.96,6.06,7.61
180,3.9,6.06,8.52
190,3.79,5.91,9.14
200,3.61,5.54,9.2
210,3.43,5.03,8.71
220,3.14,4.42,8.37
230,2.67,3.78,8.97
240,2.49,3.23,11.07
250,3.52,2.4,15.84
260,-3.33,3.4,32.43
270,-3.53,2.07,44.28
280,-5.9,1.33,52.05
290,-7.52,1.16,51.45
300,-9.84,2.62,44.38
310,-11.37,5.76,32.94
320,-12.76,9.09,20.46
330,-14.25,8.75,10.65
340,-15.32,7.36,1.81
350,-15.62,5.55,-3.41
360,-16.2,2.86,-8.48
370,-16.83,0.52,-16.8
380,-17.72,0.22,-26.26
390,-17.7,4.05,-33.06
400,-13.43,11.38,-37.73
410,-9.95,17.23,-37.17
420,-6.78,19.15,-33.62
430,-4.64,19.53,-28.57
440,-3.34,18.95,-22.03
450,-2.12,17.49,-16.9
460,-0.96,16.34,-14.5
470,0.18,14.75,-15.37
480,1.27,12.46,-17.47
490,1.87,11.02,-18.6
500,2.5,9.81,-18.81
510,1.93,8.11,-17.62
520,0.61,6.0,-16.55
530,-0.66,5.59,-17.31
540,-1.74,6.99,-20.08
550,-3.78,8.12,-22.81
560,-6.38,9.59,-25.73
570,-9.42,9.87,-28.31
580,-11.85,8.62,-30.09
590,-12.5,7.67,-31.55
600,-13.63,4.93,-31.09
610,-15.71,0.92,-24.7
620,-16.48,-0.64,-15.08
630,-25.39,-0.95,2.85
640,-21.59,1.42,10.79
650,-20.86,4.59,21.77
660,-19.37,7.88,30.49
670,-16.99,13.4,36.46
680,-13.09,15.09,39.78
690,-9.7,15.37,38.93
700,-6.96,12.62,34.81
710,-4.79,9.62,29.98
720,-4.15,5.96,28.51
730,-4.54,2.93,30.13
740,-4.83,0.82,32.29
750,-4.72,1.44,33.6
760,-4.97,2.91,36.2
770,-5.5,4.31,38.26
780,-6.13,6.39,40.18
790,-7.51,7.36,42.82
800,-9.65,6.83,44.19
810,-11.76,4.39,41.22
820,-13.45,1.48,34.94
830,-14.3,-1.96,26.99
840,-14.86,-6.28,19.26
850,-15.95,-8.88,13.26
860,-17.28,-9.26,6.86
870,-18.23,-4.08,0.14
880,-18.76,5.0,-6.64
890,-18.22,13.3,-12.43
900,-17.8,19.1,-15.56
910,-17.5,21.7,-18.93
920,-16.8,22.47,-24.2
930,-15.91,22.13,-29.16
940,-14.11,21.27,-30.73
950,-9.96,22.45,-30.24
960,-7.8,23.91,-24.08
970,-5.42,24.12,-15.28
980,-3.35,22.88,-8.37
990,-1.67,20.53,-4.75
1000,0.04,17.16,-5.19
